Indicator,Year,Values,State,LGA,Months
Yellow Fever Coverage,2020,60,Delta,Ethiope East,NA
Yellow Fever Coverage,2020,25.3,Delta,Ethiope West,NA
Yellow Fever Coverage,2020,37.5,Delta,Ika North East,NA
Yellow Fever Coverage,2020,30.2,Delta,Ika South,NA
Yellow Fever Coverage,2020,31.7,Delta,Isoko North,NA
Yellow Fever Coverage,2020,33.9,Delta,Isoko South,NA
Yellow Fever Coverage,2020,10.9,Delta,Ndokwa East,NA
Yellow Fever Coverage,2020,22.4,Delta,Ndokwa West,NA
Yellow Fever Coverage,2020,26,Delta,Okpe,NA
Yellow Fever Coverage,2020,18.3,Delta,Oshimili North,NA
Yellow Fever Coverage,2020,39.1,Delta,Oshimili South,NA
Yellow Fever Coverage,2020,18,Delta,Patani,NA
Yellow Fever Coverage,2020,15.5,Delta,Sapele,NA
Yellow Fever Coverage,2020,28.5,Delta,Udu,NA
Yellow Fever Coverage,2020,27.9,Delta,Ughelli North,NA
Yellow Fever Coverage,2020,23.7,Delta,Ughelli South,NA
Yellow Fever Coverage,2020,26.8,Delta,Ukwuani,NA
Yellow Fever Coverage,2020,37.6,Delta,Uvwie,NA
Yellow Fever Coverage,2020,30.2,Delta,Warri North,NA
Yellow Fever Coverage,2020,14.2,Delta,Warri South,NA
Yellow Fever Coverage,2020,39.2,Delta,Warri South West,NA
Yellow Fever Coverage,2020,1.8,Edo,Akoko-Edo,NA
Yellow Fever Coverage,2020,1.8,Edo,Egor,NA
Yellow Fever Coverage,2020,3.7,Edo,Esan Central,NA
Yellow Fever Coverage,2020,3.6,Edo,Esan North-East,NA
Yellow Fever Coverage,2020,7.9,Edo,Esan South-East,NA
Yellow Fever Coverage,2020,3.1,Edo,Esan West,NA
Yellow Fever Coverage,2020,5.1,Edo,Etsako Central,NA
Yellow Fever Coverage,2020,2.8,Edo,Etsako East,NA
Yellow Fever Coverage,2020,2.5,Edo,Etsako West,NA
Yellow Fever Coverage,2020,1.9,Edo,Igueben,NA
Yellow Fever Coverage,2020,6,Edo,Ikpoba-Okha,NA
Yellow Fever Coverage,2020,1.1,Edo,Orhionmwon,NA
Yellow Fever Coverage,2020,1.8,Edo,Ovia South-West,NA
Yellow Fever Coverage,2020,1.1,Edo,Owan East,NA
Yellow Fever Coverage,2020,3.4,Edo,Uhunmwonde,NA
Yellow Fever Coverage,2020,0.51,Enugu,Enugu East,NA
Yellow Fever Coverage,2020,1.6,Enugu,Enugu North,NA
Yellow Fever Coverage,2020,0.18,Enugu,Nkanu West,NA
Yellow Fever Coverage,2020,0.04,Enugu,Nsukka,NA
Yellow Fever Coverage,2020,26.8,Federal Capital Territory,Abaji,NA
Yellow Fever Coverage,2020,12.8,Federal Capital Territory,Abuja Municipal,NA
Yellow Fever Coverage,2020,20.7,Federal Capital Territory,Bwari,NA
Yellow Fever Coverage,2020,20.3,Federal Capital Territory,Gwagwalada,NA
Yellow Fever Coverage,2020,31.1,Federal Capital Territory,Kuje,NA
Yellow Fever Coverage,2020,23,Federal Capital Territory,Kwali,NA
Yellow Fever Coverage,2020,22.3,Gombe,Akko,NA
Yellow Fever Coverage,2020,13,Gombe,Balanga,NA
Yellow Fever Coverage,2020,9.1,Gombe,Billiri,NA
Yellow Fever Coverage,2020,25.1,Gombe,Dukku,NA
Yellow Fever Coverage,2020,23.3,Gombe,Funakaye,NA
Yellow Fever Coverage,2020,26.1,Gombe,Gombe,NA
Yellow Fever Coverage,2020,14.1,Gombe,Kaltungo,NA
Yellow Fever Coverage,2020,27.4,Gombe,Kwami,NA
Yellow Fever Coverage,2020,30.2,Gombe,Nafada,NA
Yellow Fever Coverage,2020,11.4,Gombe,Shongom,NA
Yellow Fever Coverage,2020,33.3,Gombe,Yamaltu/Deba,NA
Yellow Fever Coverage,2020,16,Imo,Aboh-Mbaise,NA
Yellow Fever Coverage,2020,20.9,Imo,Ahiazu-Mbaise,NA
Yellow Fever Coverage,2020,28.9,Imo,Ehime-Mbano,NA
Yellow Fever Coverage,2020,28.5,Imo,Ezinihitte-Mbaise,NA
Yellow Fever Coverage,2020,16.6,Imo,Ideato North,NA
Yellow Fever Coverage,2020,15.3,Imo,Ideato South,NA
Yellow Fever Coverage,2020,31.9,Imo,Ihitte/Uboma,NA
Yellow Fever Coverage,2020,38.1,Imo,Ikeduru,NA
Yellow Fever Coverage,2020,29.7,Imo,Isiala Mbano,NA
Yellow Fever Coverage,2020,14.8,Imo,Isu,NA
Yellow Fever Coverage,2020,22.1,Imo,Mbaitoli,NA
Yellow Fever Coverage,2020,16.4,Imo,Ngor-Okpala,NA
Yellow Fever Coverage,2020,19.9,Imo,Njaba,NA
Yellow Fever Coverage,2020,34.2,Imo,Nkwerre,NA
Yellow Fever Coverage,2020,19.8,Imo,Nwangele,NA
Yellow Fever Coverage,2020,39,Imo,Obowo,NA
Yellow Fever Coverage,2020,16,Imo,Oguta,NA
Yellow Fever Coverage,2020,16.7,Imo,Ohaji/Egbema,NA
Yellow Fever Coverage,2020,16.9,Imo,Okigwe,NA
Yellow Fever Coverage,2020,17.9,Imo,Onuimo,NA
Yellow Fever Coverage,2020,24,Imo,Orlu,NA
Yellow Fever Coverage,2020,19.2,Imo,Orsu,NA
Yellow Fever Coverage,2020,19,Imo,Oru East,NA
Yellow Fever Coverage,2020,20.4,Imo,Oru West,NA
Yellow Fever Coverage,2020,37.6,Imo,Owerri Municipal,NA
Yellow Fever Coverage,2020,22.6,Imo,Owerri North,NA
Yellow Fever Coverage,2020,37.7,Imo,Owerri West,NA
Yellow Fever Coverage,2020,23.1,Jigawa,Auyo,NA
Yellow Fever Coverage,2020,28.1,Jigawa,Babura,NA
Yellow Fever Coverage,2020,34.5,Jigawa,Birnin Kudu,NA
Yellow Fever Coverage,2020,27.4,Jigawa,Birniwa,NA
Yellow Fever Coverage,2020,35.8,Jigawa,Buji,NA
Yellow Fever Coverage,2020,30.1,Jigawa,Dutse,NA
Yellow Fever Coverage,2020,42.4,Jigawa,Gagarawa,NA
Yellow Fever Coverage,2020,39,Jigawa,Garki,NA
Yellow Fever Coverage,2020,25.4,Jigawa,Gumel,NA
Yellow Fever Coverage,2020,25.8,Jigawa,Guri,NA
Yellow Fever Coverage,2020,36.2,Jigawa,Gwaram,NA
Yellow Fever Coverage,2020,29.4,Jigawa,Gwiwa,NA
Yellow Fever Coverage,2020,23.1,Jigawa,Hadejia,NA
Yellow Fever Coverage,2020,32.2,Jigawa,Jahun,NA
Yellow Fever Coverage,2020,30.9,Jigawa,Kafin Hausa,NA
Yellow Fever Coverage,2020,39.3,Jigawa,Kaugama,NA
Yellow Fever Coverage,2020,36.1,Jigawa,Kazaure,NA
Yellow Fever Coverage,2020,34.8,Jigawa,Kiri Kasamma,NA
Yellow Fever Coverage,2020,40.1,Jigawa,Kiyawa,NA
Yellow Fever Coverage,2020,30.2,Jigawa,Maigatari,NA
Yellow Fever Coverage,2020,29.4,Jigawa,Malam Madori,NA
Yellow Fever Coverage,2020,35.6,Jigawa,Miga,NA
Yellow Fever Coverage,2020,41.4,Jigawa,Ringim,NA
Yellow Fever Coverage,2020,42.9,Jigawa,Roni,NA
Yellow Fever Coverage,2020,36.7,Jigawa,Sule-Tankarkar,NA
Yellow Fever Coverage,2020,36,Jigawa,Taura,NA
Yellow Fever Coverage,2020,35.7,Jigawa,Yankwashi,NA
Yellow Fever Coverage,2020,53.3,Kaduna,Birnin Gwari,NA
Yellow Fever Coverage,2020,33.1,Kaduna,Chikun,NA
Yellow Fever Coverage,2020,61.4,Kaduna,Giwa,NA
Yellow Fever Coverage,2020,52.2,Kaduna,Igabi,NA
Yellow Fever Coverage,2020,62.3,Kaduna,Ikara,NA
Yellow Fever Coverage,2020,30.8,Kaduna,Jaba,NA
Yellow Fever Coverage,2020,14.1,Kaduna,Jema'a,NA
Yellow Fever Coverage,2020,24.1,Kaduna,Kachia,NA
Yellow Fever Coverage,2020,14.8,Kaduna,Kaduna North,NA
Yellow Fever Coverage,2020,16.4,Kaduna,Kaduna South,NA
Yellow Fever Coverage,2020,20.4,Kaduna,Kagarko,NA
Yellow Fever Coverage,2020,23.5,Kaduna,Kajuru,NA
Yellow Fever Coverage,2020,16.6,Kaduna,Kaura,NA
Yellow Fever Coverage,2020,58.2,Kaduna,Kauru,NA
Yellow Fever Coverage,2020,66.9,Kaduna,Kubau,NA
Yellow Fever Coverage,2020,36.7,Kaduna,Kudan,NA
Yellow Fever Coverage,2020,47.3,Kaduna,Lere,NA
Yellow Fever Coverage,2020,63.6,Kaduna,Makarfi,NA
Yellow Fever Coverage,2020,56.4,Kaduna,Sabon Gari,NA
Yellow Fever Coverage,2020,12.3,Kaduna,Sanga,NA
Yellow Fever Coverage,2020,73.8,Kaduna,Soba,NA
Yellow Fever Coverage,2020,29,Kaduna,Zangon Kataf,NA
Yellow Fever Coverage,2020,34.1,Kaduna,Zaria,NA
Yellow Fever Coverage,2020,25.3,Kano,Ajingi,NA
Yellow Fever Coverage,2020,33.2,Kano,Albasu,NA
Yellow Fever Coverage,2020,27.9,Kano,Bagwai,NA
Yellow Fever Coverage,2020,28.7,Kano,Bebeji,NA
Yellow Fever Coverage,2020,24.4,Kano,Bichi,NA
Yellow Fever Coverage,2020,30.6,Kano,Bunkure,NA
Yellow Fever Coverage,2020,25.6,Kano,Dala,NA
Yellow Fever Coverage,2020,29.7,Kano,Danbatta,NA
Yellow Fever Coverage,2020,24.6,Kano,Dawakin Kudu,NA
Yellow Fever Coverage,2020,22.8,Kano,Dawakin Tofa,NA
Yellow Fever Coverage,2020,37.5,Kano,Doguwa,NA
Yellow Fever Coverage,2020,22.9,Kano,Fagge,NA
Yellow Fever Coverage,2020,33,Kano,Gabasawa,NA
Yellow Fever Coverage,2020,40.4,Kano,Garko,NA
Yellow Fever Coverage,2020,30.3,Kano,Garum Mallam,NA
Yellow Fever Coverage,2020,31.4,Kano,Gaya,NA
Yellow Fever Coverage,2020,22.6,Kano,Gezawa,NA
Yellow Fever Coverage,2020,26.5,Kano,Gwale,NA
Yellow Fever Coverage,2020,28.7,Kano,Gwarzo,NA
Yellow Fever Coverage,2020,24.3,Kano,Kabo,NA
Yellow Fever Coverage,2020,21,Kano,Kano Municipal,NA
Yellow Fever Coverage,2020,26.3,Kano,Karaye,NA
Yellow Fever Coverage,2020,26.8,Kano,Kibiya,NA
Yellow Fever Coverage,2020,23.1,Kano,Kiru,NA
Yellow Fever Coverage,2020,32.9,Kano,Kumbotso,NA
Yellow Fever Coverage,2020,26.4,Kano,Kunchi,NA
Yellow Fever Coverage,2020,33.3,Kano,Kura,NA
Yellow Fever Coverage,2020,28.2,Kano,Madobi,NA
Yellow Fever Coverage,2020,22.9,Kano,Makoda,NA
Yellow Fever Coverage,2020,19.6,Kano,Minjibir,NA
Yellow Fever Coverage,2020,25.5,Kano,Nasarawa,NA
Yellow Fever Coverage,2020,31,Kano,Rano,NA
Yellow Fever Coverage,2020,26,Kano,Rimin Gado,NA
Yellow Fever Coverage,2020,29.4,Kano,Rogo,NA
Yellow Fever Coverage,2020,26.8,Kano,Shanono,NA
Yellow Fever Coverage,2020,25.6,Kano,Sumaila,NA
Yellow Fever Coverage,2020,34.6,Kano,Takai,NA
Yellow Fever Coverage,2020,23.9,Kano,Tarauni,NA
Yellow Fever Coverage,2020,31.8,Kano,Tofa,NA
Yellow Fever Coverage,2020,26.9,Kano,Tsanyawa,NA
Yellow Fever Coverage,2020,33.5,Kano,Tudun Wada,NA
Yellow Fever Coverage,2020,32.1,Kano,Ungogo,NA
Yellow Fever Coverage,2020,27.3,Kano,Warawa,NA
Yellow Fever Coverage,2020,21.9,Kano,Wudil,NA
Yellow Fever Coverage,2020,29.5,Katsina,Bakori,NA
Yellow Fever Coverage,2020,22.8,Katsina,Batagarawa,NA
Yellow Fever Coverage,2020,26.2,Katsina,Batsari,NA
Yellow Fever Coverage,2020,21.5,Katsina,Baure,NA
Yellow Fever Coverage,2020,22.9,Katsina,Bindawa,NA
Yellow Fever Coverage,2020,17.7,Katsina,Charanchi,NA
Yellow Fever Coverage,2020,28.3,Katsina,Dan Musa,NA
Yellow Fever Coverage,2020,46.8,Katsina,Dandume,NA
Yellow Fever Coverage,2020,34.1,Katsina,Danja,NA
Yellow Fever Coverage,2020,14.1,Katsina,Daura,NA
Yellow Fever Coverage,2020,39.7,Katsina,Dutsi,NA
Yellow Fever Coverage,2020,43.6,Katsina,Dutsin-Ma,NA
Yellow Fever Coverage,2020,31,Katsina,Faskari,NA
Yellow Fever Coverage,2020,30.1,Katsina,Funtua,NA
Yellow Fever Coverage,2020,23.8,Katsina,Ingawa,NA
Yellow Fever Coverage,2020,24.9,Katsina,Jibia,NA
Yellow Fever Coverage,2020,27.7,Katsina,Kafur,NA
Yellow Fever Coverage,2020,22.6,Katsina,Kaita,NA
Yellow Fever Coverage,2020,22.6,Katsina,Kankara,NA
Yellow Fever Coverage,2020,17.9,Katsina,Kankia,NA
Yellow Fever Coverage,2020,15.2,Katsina,Katsina,NA
Yellow Fever Coverage,2020,37.3,Katsina,Kurfi,NA
Yellow Fever Coverage,2020,33.9,Katsina,Kusada,NA
Yellow Fever Coverage,2020,19,Katsina,Mai'Adua,NA
Yellow Fever Coverage,2020,25.6,Katsina,Malumfashi,NA
Yellow Fever Coverage,2020,23.4,Katsina,Mani,NA
Yellow Fever Coverage,2020,19.6,Katsina,Mashi,NA
Yellow Fever Coverage,2020,33.6,Katsina,Matazu,NA
Yellow Fever Coverage,2020,19.4,Katsina,Musawa,NA
Yellow Fever Coverage,2020,14.6,Katsina,Rimi,NA
Yellow Fever Coverage,2020,26.3,Katsina,Sabuwa,NA
Yellow Fever Coverage,2020,24.2,Katsina,Safana,NA
Yellow Fever Coverage,2020,14.6,Katsina,Sandamu,NA
Yellow Fever Coverage,2020,21.1,Katsina,Zango,NA
Yellow Fever Coverage,2020,41.5,Kwara,Asa,NA
Yellow Fever Coverage,2020,31.3,Kwara,Baruten,NA
Yellow Fever Coverage,2020,31.5,Kwara,Edu,NA
Yellow Fever Coverage,2020,40.5,Kwara,Ekiti,NA
Yellow Fever Coverage,2020,34,Kwara,Ifelodun,NA
Yellow Fever Coverage,2020,23.8,Kwara,Ilorin East,NA
Yellow Fever Coverage,2020,39.5,Kwara,Ilorin South,NA
Yellow Fever Coverage,2020,29.6,Kwara,Ilorin West,NA
Yellow Fever Coverage,2020,33.4,Kwara,Irepodun,NA
Yellow Fever Coverage,2020,33.8,Kwara,Isin,NA
Yellow Fever Coverage,2020,31,Kwara,Kaiama,NA
Yellow Fever Coverage,2020,32.4,Kwara,Moro,NA
Yellow Fever Coverage,2020,29.9,Kwara,Offa,NA
Yellow Fever Coverage,2020,20.9,Kwara,Oke-Ero,NA
Yellow Fever Coverage,2020,33,Kwara,Oyun,NA
Yellow Fever Coverage,2020,30.4,Kwara,Pategi,NA
Yellow Fever Coverage,2020,0.05,Lagos,Alimosho,NA
Yellow Fever Coverage,2020,0.01,Lagos,Badagry,NA
Yellow Fever Coverage,2020,27.8,Nasarawa,Akwanga,NA
Yellow Fever Coverage,2020,43.3,Nasarawa,Awe,NA
Yellow Fever Coverage,2020,29.6,Nasarawa,Doma,NA
Yellow Fever Coverage,2020,43.3,Nasarawa,Karu,NA
Yellow Fever Coverage,2020,28.3,Nasarawa,Keana,NA
Yellow Fever Coverage,2020,45.4,Nasarawa,Keffi,NA
Yellow Fever Coverage,2020,33.8,Nasarawa,Kokona,NA
Yellow Fever Coverage,2020,55.1,Nasarawa,Lafia,NA
Yellow Fever Coverage,2020,36.4,Nasarawa,Nasarawa Eggon,NA
Yellow Fever Coverage,2020,44.9,Nasarawa,Nasarawa,NA
Yellow Fever Coverage,2020,56,Nasarawa,Obi,NA
Yellow Fever Coverage,2020,19.4,Nasarawa,Toto,NA
Yellow Fever Coverage,2020,27,Nasarawa,Wamba,NA
Yellow Fever Coverage,2020,52.3,Niger,Agaie,NA
Yellow Fever Coverage,2020,47.7,Niger,Agwara,NA
Yellow Fever Coverage,2020,25.6,Niger,Bida,NA
Yellow Fever Coverage,2020,47.8,Niger,Borgu,NA
Yellow Fever Coverage,2020,33.4,Niger,Bosso,NA
Yellow Fever Coverage,2020,26.7,Niger,Chanchaga,NA
Yellow Fever Coverage,2020,35.2,Niger,Edati,NA
Yellow Fever Coverage,2020,13.8,Niger,Gbako,NA
Yellow Fever Coverage,2020,29.1,Niger,Gurara,NA
Yellow Fever Coverage,2020,37.9,Niger,Katcha,NA
Yellow Fever Coverage,2020,29.8,Niger,Kontagora,NA
Yellow Fever Coverage,2020,60.6,Niger,Lapai,NA
Yellow Fever Coverage,2020,29.9,Niger,Lavun,NA
Yellow Fever Coverage,2020,34,Niger,Magama,NA
Yellow Fever Coverage,2020,32.2,Niger,Mariga,NA
Yellow Fever Coverage,2020,5,Niger,Mashegu,NA
Yellow Fever Coverage,2020,33.4,Niger,Mokwa,NA
Yellow Fever Coverage,2020,23.3,Niger,Muya,NA
Yellow Fever Coverage,2020,21.1,Niger,Paikoro,NA
Yellow Fever Coverage,2020,17.3,Niger,Rafi,NA
Yellow Fever Coverage,2020,34.8,Niger,Rijau,NA
Yellow Fever Coverage,2020,28,Niger,Shiroro,NA
Yellow Fever Coverage,2020,17.8,Niger,Suleja,NA
Yellow Fever Coverage,2020,27.7,Niger,Tafa,NA
Yellow Fever Coverage,2020,17.8,Niger,Wushishi,NA
Yellow Fever Coverage,2020,19.5,Osun,Atakumosa East,NA
Yellow Fever Coverage,2020,35.4,Osun,Atakumosa West,NA
Yellow Fever Coverage,2020,33.9,Osun,Ayedaade,NA
Yellow Fever Coverage,2020,27.9,Osun,Ayedire,NA
Yellow Fever Coverage,2020,17,Osun,Boluwaduro,NA
Yellow Fever Coverage,2020,27.4,Osun,Boripe,NA
Yellow Fever Coverage,2020,16.9,Osun,Ede North,NA
Yellow Fever Coverage,2020,30.8,Osun,Ede South,NA
Yellow Fever Coverage,2020,23.8,Osun,Egbedore,NA
Yellow Fever Coverage,2020,23.6,Osun,Ejigbo,NA
Yellow Fever Coverage,2020,22.1,Osun,Ife Central,NA
Yellow Fever Coverage,2020,22.2,Osun,Ife East,NA
Yellow Fever Coverage,2020,30.8,Osun,Ife North,NA
Yellow Fever Coverage,2020,24.6,Osun,Ife South,NA
Yellow Fever Coverage,2020,45,Osun,Ifedayo,NA
Yellow Fever Coverage,2020,26.1,Osun,Ifelodun,NA
Yellow Fever Coverage,2020,29.1,Osun,Ila,NA
Yellow Fever Coverage,2020,17.6,Osun,Ilesa East,NA
Yellow Fever Coverage,2020,22.8,Osun,Ilesa West,NA
Yellow Fever Coverage,2020,21.5,Osun,Irepodun,NA
Yellow Fever Coverage,2020,23.5,Osun,Irewole,NA
Yellow Fever Coverage,2020,19.7,Osun,Isokan,NA
Yellow Fever Coverage,2020,26.5,Osun,Iwo,NA
Yellow Fever Coverage,2020,125.4,Osun,Obokun,NA
Yellow Fever Coverage,2020,20.2,Osun,Odo Otin,NA
Yellow Fever Coverage,2020,10.5,Osun,Ola-Oluwa,NA
Yellow Fever Coverage,2020,17.4,Osun,Olorunda,NA
Yellow Fever Coverage,2020,14.2,Osun,Oriade,NA
Yellow Fever Coverage,2020,28.3,Osun,Orolu,NA
Yellow Fever Coverage,2020,31,Osun,Osogbo,NA
Yellow Fever Coverage,2020,31.6,Oyo,Afijio,NA
Yellow Fever Coverage,2020,30.7,Oyo,Akinyele,NA
Yellow Fever Coverage,2020,21.4,Oyo,Atiba,NA
Yellow Fever Coverage,2020,27.1,Oyo,Atisbo,NA
Yellow Fever Coverage,2020,35.7,Oyo,Egbeda,NA
Yellow Fever Coverage,2020,24.3,Oyo,Ibadan North East,NA
Yellow Fever Coverage,2020,15.9,Oyo,Ibadan North,NA
Yellow Fever Coverage,2020,20.1,Oyo,Ibadan North West,NA
Yellow Fever Coverage,2020,25.4,Oyo,Ibadan South East,NA
Yellow Fever Coverage,2020,36.3,Oyo,Ibadan South West,NA
Yellow Fever Coverage,2020,12.2,Oyo,Ibarapa Central,NA
Yellow Fever Coverage,2020,21.5,Oyo,Ibarapa East,NA
Yellow Fever Coverage,2020,17.3,Oyo,Ibarapa North,NA
